filename,line_number,function_name,primitive_calls,total_calls,total_time_s,cumulative_time_s,total_time_per_call_s,cumulative_time_per_call_s
c:\works\nexusep\nexusep\nexusep\abbey\run_test_18_21_profiling.py,42,run_loop,1,1,0.010398000000000001,6.260970100000001,0.010398000000000001,6.260970100000001
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\timestep.py,858,run_array_timestep,8760,8760,0.035990600000000005,6.2505721,4.10851598173516e-06,0.0007135356278538814
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\timestep.py,509,run_array_timestep_arrays,8760,8760,0.10171590000000001,6.205800600000001,1.1611404109589043e-05,0.0007084247260273973
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\action_kernels.py,988,score_all_person_actions,8760,8760,1.1223605,1.2059209000000002,0.00012812334474885845,0.00013766220319634705
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\person_kernels.py,1080,update_person_dynamics,8760,8760,0.1314121,0.9308716,1.5001381278538814e-05,0.00010626388127853881
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,1254,run_execution_step_from_chosen_actions,8760,8760,0.009206800000000001,0.6798430000000001,1.0510045662100458e-06,7.76076484018265e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,567,run_daylight_step,8760,8760,0.0047218,0.6101561000000001,5.390182648401827e-07,6.965252283105024e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,522,step_building_daylight,8760,8760,0.0207934,0.6054343000000001,2.373675799086758e-06,6.911350456621006e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,458,step_zone_daylight,43800,43800,0.053208200000000004,0.5846409,1.214799086757991e-06,1.3347965753424659e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\person_kernels.py,630,update_person_perception,8760,8760,0.2176327,0.5629097000000001,2.4843915525114158e-05,6.425909817351598e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,1104,advance_execution_state_arrays,8760,8760,0.0139351,0.4916471,1.5907648401826485e-06,5.612409817351598e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,727,run_airflow_step,8760,8760,0.0064272,0.4388908,7.336986301369863e-07,5.01016894977169e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,677,step_building_airflow,8760,8760,0.0091152,0.4324636,1.0405479452054796e-06,4.936799086757991e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\system_kernels.py,573,enforce_system_constraints,17520,17520,0.40133480000000005,0.40133480000000005,2.2907237442922376e-05,2.2907237442922376e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\thermal_kernels.py,1258,run_thermal_step,8760,8760,0.006836200000000001,0.37849900000000003,7.803881278538813e-07,4.320764840182649e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,545,calculate_all_zone_airflow_components_m3_s,8760,8760,0.060106200000000005,0.3721882,6.861438356164384e-06,4.2487237442922374e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\thermal_kernels.py,832,step_building_thermal_semi_implicit_fast,8760,8760,0.3716628,0.3716628,4.242726027397261e-05,4.242726027397261e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\timestep.py,452,run_system_update_if_available,8760,8760,0.005831,0.3396581,6.656392694063927e-07,3.877375570776256e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\person_kernels.py,142,fanger_pmv_scalar,28470,28470,0.2949543,0.33714120000000003,1.0360179135932561e-05,1.1841981032665965e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\system_kernels.py,1411,update_system_control_state,8760,8760,0.012612400000000001,0.33382710000000004,1.439771689497717e-06,3.810811643835617e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,855,advance_foreground_actions,8760,8760,0.06574440000000001,0.30206140000000004,7.505068493150686e-06,3.448189497716895e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,268,calculate_zone_daylight_lux,43800,43800,0.059803100000000005,0.29127770000000003,1.3653675799086759e-06,6.6501757990867585e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\co2_kernels.py,533,run_co2_step,8760,8760,0.0043323,0.286746,4.945547945205479e-07,3.273356164383562e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\co2_kernels.py,487,step_building_co2_balance,8760,8760,0.0220691,0.28241370000000005,2.5193036529680366e-06,3.2239006849315075e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,499,calculate_zone_airflow_components_m3_s,43800,43800,0.045367500000000005,0.2794245,1.0357876712328768e-06,6.379554794520548e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\co2_kernels.py,398,step_zone_co2_balance,43800,43800,0.09612100000000001,0.24378070000000002,2.194543378995434e-06,5.565769406392694e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\moisture_kernels.py,1156,run_moisture_step,8760,8760,0.007440400000000001,0.21775370000000002,8.493607305936074e-07,2.4857728310502286e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\moisture_kernels.py,809,step_building_moisture_balance_fast,8760,8760,0.1914993,0.2103133,2.1860650684931508e-05,2.4008367579908678e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\timestep.py,485,enforce_system_constraints_if_available,8760,8760,0.0058993000000000006,0.20734290000000002,6.734360730593608e-07,2.366928082191781e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,755,start_chosen_actions,8760,8760,0.031783200000000005,0.1789891,3.6282191780821924e-06,2.043254566210046e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,802,add_foreground_action_outputs,33365,33365,0.0530597,0.1780673,1.590280233777911e-06,5.336948898546381e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,339,calculate_zone_solar_gain_w,43800,43800,0.0415113,0.1716279,9.477465753424658e-07,3.918445205479452e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,160,calculate_zone_effective_window_area_m2,63875,63875,0.0495576,0.1642236,7.758528375733855e-07,2.5710152641878667e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\timestep.py,1109,sanitize_person_state_values,8760,8760,0.1611312,0.1611312,1.8393972602739725e-05,1.8393972602739725e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,697,start_action_for_person,35040,35040,0.0472556,0.14452210000000001,1.3486187214611873e-06,4.124489155251142e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\person_kernels.py,903,update_person_needs,8760,8760,0.14235340000000002,0.14235340000000002,1.6250388127853884e-05,1.6250388127853884e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\timestep.py,1036,clear_timestep_accumulators,8760,8760,0.1400402,0.1400402,1.5986324200913242e-05,1.5986324200913242e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\timestep.py,296,add_occupant_internal_gains,8760,8760,0.030920000000000003,0.1331468,3.529680365296804e-06,1.5199406392694065e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,1058,recompute_occupancy_after_execution,17520,17520,0.1306282,0.1306282,7.455947488584475e-06,7.455947488584475e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,252,add_execution_gains_to_zone_dwelling_building,36715,36715,0.10842520000000001,0.10842520000000001,2.953158109764402e-06,2.953158109764402e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,330,calculate_window_airflow_for_zone_m3_s,43800,43800,0.058667000000000004,0.1062691,1.3394292237442924e-06,2.4262351598173516e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\timestep.py,214,add_gain_to_zone_dwelling_building,28470,28470,0.1022268,0.1022268,3.5906849315068495e-06,3.5906849315068495e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\person_kernels.py,377,compute_sleep_pressure_scores,8760,8760,0.0851016,0.0941964,9.714794520547946e-06,1.0753013698630136e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,121,_count_window_systems_for_zone,63875,63875,0.0825435,0.0825435,1.29226614481409e-06,1.29226614481409e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,541,start_foreground_action_for_person,33365,33365,0.0431449,0.0789151,1.29311853738948e-06,2.365206054248464e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,196,calculate_zone_blind_closed_fraction,32120,32120,0.056485200000000006,0.07726190000000001,1.7585678704856789e-06,2.405414072229141e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\co2_kernels.py,324,semi_implicit_co2_update_scalar,43800,43800,0.049555100000000005,0.0760227,1.1313949771689498e-06,1.7356780821917808e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\timestep.py,402,aggregate_physics_demands_to_dwelling_building,8760,8760,0.0739267,0.0739267,8.43912100456621e-06,8.43912100456621e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,206,reset_execution_outputs,8760,8760,0.07190300000000001,0.07190300000000001,8.208105022831052e-06,8.208105022831052e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\person_kernels.py,296,work_obligation_score_for_person,35040,35040,0.039182600000000005,0.06728010000000001,1.118224885844749e-06,1.920094178082192e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\system_kernels.py,1323,add_system_power_to_dwelling_building,8760,8760,0.0666578,0.0666578,7.60933789954338e-06,7.60933789954338e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\action_kernels.py,2105,choose_best_action_indices_from_scores,8760,8760,0.056747200000000005,0.06345440000000001,6.477990867579909e-06,7.24365296803653e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\timestep.py,348,sync_internal_gains_from_zone_state,8760,8760,0.061850100000000005,0.061850100000000005,7.060513698630137e-06,7.060513698630137e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,203,calculate_mechanical_ventilation_flow_for_zone_m3_s,43800,43800,0.0596664,0.0596664,1.3622465753424657e-06,1.3622465753424657e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,150,calculate_infiltration_flow_for_zone_m3_s,43800,43800,0.0188182,0.05695480000000001,4.296392694063927e-07,1.300337899543379e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\system_kernels.py,1377,add_lighting_gains_to_zones,8760,8760,0.054665700000000005,0.054665700000000005,6.240376712328768e-06,6.240376712328768e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,629,write_airflow_results_to_zone_state,8760,8760,0.0418801,0.0511602,4.7808333333333334e-06,5.840205479452055e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\action_kernels.py,2068,choose_best_actions_from_scores,8760,8760,0.045807900000000006,0.0486122,5.2292123287671235e-06,5.549337899543379e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,291,calculate_window_airflow_for_system_m3_s,43800,43800,0.027702800000000003,0.0476021,6.324840182648402e-07,1.0868059360730594e-06
~,0,<built-in method numpy.zeros>,87600,87600,0.0400569,0.0400569,4.572705479452055e-07,4.572705479452055e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,422,write_solar_gain_to_internal_gains,43800,43800,0.0392283,0.0392283,8.956232876712329e-07,8.956232876712329e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,91,_clip01,128480,128480,0.021804900000000002,0.0375045,1.6971435242839354e-07,2.919092465753425e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,1009,advance_background_processes,8760,8760,0.0190237,0.0374333,2.1716552511415526e-06,4.273207762557078e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,95,_zone_is_outside,151475,151475,0.0363343,0.0363343,2.398699455355669e-07,2.398699455355669e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\co2_kernels.py,229,calculate_outdoor_exchange_flow_for_zone_m3_s,43800,43800,0.0250656,0.035254100000000003,5.722739726027397e-07,8.048881278538814e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,140,calculate_outdoor_horizontal_illuminance_lux,35040,35040,0.0152575,0.034302400000000004,4.354309360730594e-07,9.789497716894978e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\person_kernels.py,1052,reset_zone_occupancy_from_person_state,8760,8760,0.0329477,0.0329477,3.76115296803653e-06,3.76115296803653e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,108,_weather_ghi_w_m2,78840,78840,0.022084600000000003,0.0318285,2.80119228817859e-07,4.0371004566210047e-07
~,0,<built-in method builtins.abs>,594350,594350,0.031318900000000004,0.031318900000000004,5.269437200302853e-08,5.269437200302853e-08
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,399,write_daylight_result_to_zone_state,43800,43800,0.029298800000000003,0.029298800000000003,6.689223744292238e-07,6.689223744292238e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\timestep.py,132,copy_current_external_inputs,8760,8760,0.0199754,0.028979400000000002,2.2802968036529683e-06,3.3081506849315073e-06
~,0,<built-in method math.exp>,227760,227760,0.028549,0.028549,1.2534685634000704e-07,1.2534685634000704e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,125,airflow_ach_to_m3_s,43800,43800,0.0165029,0.0270278,3.767785388127854e-07,6.170730593607307e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,312,add_execution_gains_to_person,33365,33365,0.026747200000000002,0.026747200000000002,8.016544282931216e-07,8.016544282931216e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,70,_non_negative,197100,197100,0.024171400000000003,0.024171400000000003,1.226352105530188e-07,1.226352105530188e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,58,get_action_row_from_action_id,33365,33365,0.023802700000000003,0.023802700000000003,7.134032668964484e-07,7.134032668964484e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,101,_zone_is_outside,87600,87600,0.0204468,0.0204468,2.334109589041096e-07,2.334109589041096e-07
~,0,<built-in method math.tanh>,163781,163781,0.020256100000000003,0.020256100000000003,1.2367796020295396e-07,1.2367796020295396e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\co2_kernels.py,64,_non_negative,175200,175200,0.0191875,0.0191875,1.0951769406392694e-07,1.0951769406392694e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,99,_zone_floor_area_m2,86140,86140,0.018863900000000003,0.018863900000000003,2.1899117715347113e-07,2.1899117715347113e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,609,start_background_process_for_person,1675,1675,0.0086887,0.0183514,5.187283582089553e-06,1.0956059701492537e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,79,_clip,144540,144540,0.0177124,0.0177124,1.225432406254324e-07,1.225432406254324e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\co2_kernels.py,182,copy_zone_co2_gains_to_internal_gains,8760,8760,0.0165639,0.0165639,1.8908561643835615e-06,1.8908561643835615e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,232,blind_fraction_to_daylight_multiplier,16060,16060,0.007270100000000001,0.0158282,4.526836861768369e-07,9.855666251556663e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,952,add_background_process_outputs,3350,3350,0.004901900000000001,0.0150667,1.4632537313432838e-06,4.4975223880597015e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,251,blind_fraction_to_solar_multiplier,16060,16060,0.006452800000000001,0.0146225,4.017932752179328e-07,9.104919053549191e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,494,apply_action_finish_person_effects,12048,12048,0.0123417,0.013820200000000001,1.0243774900398406e-06,1.1470949535192564e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,97,_clip01,35040,35040,0.0079503,0.013655,2.2689212328767125e-07,3.896974885844749e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,77,person_foreground_active,33365,33365,0.0134169,0.0134169,4.0212498126779563e-07,4.0212498126779563e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\co2_kernels.py,85,_zone_is_outside,43800,43800,0.0119637,0.0119637,2.7314383561643835e-07,2.7314383561643835e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\co2_kernels.py,89,_zone_volume_m3,43800,43800,0.011323100000000001,0.011323100000000001,2.585182648401827e-07,2.585182648401827e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\co2_kernels.py,109,co2_gain_kg_s_to_ppm_s,43800,43800,0.011236300000000001,0.011236300000000001,2.5653652968036535e-07,2.5653652968036535e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,105,_zone_volume_m3,43800,43800,0.0111088,0.0111088,2.536255707762557e-07,2.536255707762557e-07
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,440,calculate_all_interzone_flows_m3_s,8760,8760,0.0107215,0.0107215,1.2239155251141552e-06,1.2239155251141552e-06
