         4525310 function calls in 6.261 seconds

   Ordered by: cumulative time
   List reduced from 122 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.010    0.010    6.261    6.261 run_test_18_21_profiling.py:42(run_loop)
     8760    0.036    0.000    6.251    0.001 timestep.py:858(run_array_timestep)
     8760    0.102    0.000    6.206    0.001 timestep.py:509(run_array_timestep_arrays)
     8760    1.122    0.000    1.206    0.000 action_kernels.py:988(score_all_person_actions)
     8760    0.131    0.000    0.931    0.000 person_kernels.py:1080(update_person_dynamics)
     8760    0.009    0.000    0.680    0.000 execution_kernels.py:1254(run_execution_step_from_chosen_actions)
     8760    0.005    0.000    0.610    0.000 daylight_kernels.py:567(run_daylight_step)
     8760    0.021    0.000    0.605    0.000 daylight_kernels.py:522(step_building_daylight)
    43800    0.053    0.000    0.585    0.000 daylight_kernels.py:458(step_zone_daylight)
     8760    0.218    0.000    0.563    0.000 person_kernels.py:630(update_person_perception)
     8760    0.014    0.000    0.492    0.000 execution_kernels.py:1104(advance_execution_state_arrays)
     8760    0.006    0.000    0.439    0.000 airflow_kernels.py:727(run_airflow_step)
     8760    0.009    0.000    0.432    0.000 airflow_kernels.py:677(step_building_airflow)
    17520    0.401    0.000    0.401    0.000 system_kernels.py:573(enforce_system_constraints)
     8760    0.007    0.000    0.378    0.000 thermal_kernels.py:1258(run_thermal_step)
     8760    0.060    0.000    0.372    0.000 airflow_kernels.py:545(calculate_all_zone_airflow_components_m3_s)
     8760    0.372    0.000    0.372    0.000 thermal_kernels.py:832(step_building_thermal_semi_implicit_fast)
     8760    0.006    0.000    0.340    0.000 timestep.py:452(run_system_update_if_available)
    28470    0.295    0.000    0.337    0.000 person_kernels.py:142(fanger_pmv_scalar)
     8760    0.013    0.000    0.334    0.000 system_kernels.py:1411(update_system_control_state)
     8760    0.066    0.000    0.302    0.000 execution_kernels.py:855(advance_foreground_actions)
    43800    0.060    0.000    0.291    0.000 daylight_kernels.py:268(calculate_zone_daylight_lux)
     8760    0.004    0.000    0.287    0.000 co2_kernels.py:533(run_co2_step)
     8760    0.022    0.000    0.282    0.000 co2_kernels.py:487(step_building_co2_balance)
    43800    0.045    0.000    0.279    0.000 airflow_kernels.py:499(calculate_zone_airflow_components_m3_s)
    43800    0.096    0.000    0.244    0.000 co2_kernels.py:398(step_zone_co2_balance)
     8760    0.007    0.000    0.218    0.000 moisture_kernels.py:1156(run_moisture_step)
     8760    0.191    0.000    0.210    0.000 moisture_kernels.py:809(step_building_moisture_balance_fast)
     8760    0.006    0.000    0.207    0.000 timestep.py:485(enforce_system_constraints_if_available)
     8760    0.032    0.000    0.179    0.000 execution_kernels.py:755(start_chosen_actions)
    33365    0.053    0.000    0.178    0.000 execution_kernels.py:802(add_foreground_action_outputs)
    43800    0.042    0.000    0.172    0.000 daylight_kernels.py:339(calculate_zone_solar_gain_w)
    63875    0.050    0.000    0.164    0.000 daylight_kernels.py:160(calculate_zone_effective_window_area_m2)
     8760    0.161    0.000    0.161    0.000 timestep.py:1109(sanitize_person_state_values)
    35040    0.047    0.000    0.145    0.000 execution_kernels.py:697(start_action_for_person)
     8760    0.142    0.000    0.142    0.000 person_kernels.py:903(update_person_needs)
     8760    0.140    0.000    0.140    0.000 timestep.py:1036(clear_timestep_accumulators)
     8760    0.031    0.000    0.133    0.000 timestep.py:296(add_occupant_internal_gains)
    17520    0.131    0.000    0.131    0.000 execution_kernels.py:1058(recompute_occupancy_after_execution)
    36715    0.108    0.000    0.108    0.000 execution_kernels.py:252(add_execution_gains_to_zone_dwelling_building)
    43800    0.059    0.000    0.106    0.000 airflow_kernels.py:330(calculate_window_airflow_for_zone_m3_s)
    28470    0.102    0.000    0.102    0.000 timestep.py:214(add_gain_to_zone_dwelling_building)
     8760    0.085    0.000    0.094    0.000 person_kernels.py:377(compute_sleep_pressure_scores)
    63875    0.083    0.000    0.083    0.000 daylight_kernels.py:121(_count_window_systems_for_zone)
    33365    0.043    0.000    0.079    0.000 execution_kernels.py:541(start_foreground_action_for_person)
    32120    0.056    0.000    0.077    0.000 daylight_kernels.py:196(calculate_zone_blind_closed_fraction)
    43800    0.050    0.000    0.076    0.000 co2_kernels.py:324(semi_implicit_co2_update_scalar)
