filename,line_number,function_name,primitive_calls,total_calls,total_time_s,cumulative_time_s,total_time_per_call_s,cumulative_time_per_call_s
c:\works\nexusep\nexusep\nexusep\abbey\run_test_18_21_profiling.py,42,run_loop,1,1,0.0109879,6.5282441,0.0109879,6.5282441
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\timestep.py,858,run_array_timestep,8760,8760,0.0345571,6.5172562,3.944874429223744e-06,0.0007439790182648402
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\timestep.py,509,run_array_timestep_arrays,8760,8760,0.0967549,5.944555800000001,1.10450799086758e-05,0.0006786022602739727
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\action_kernels.py,988,score_all_person_actions,8760,8760,1.0752491,1.155826,0.0001227453310502283,0.00013194360730593607
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\person_kernels.py,1080,update_person_dynamics,8760,8760,0.12480150000000001,0.8938536,1.4246746575342467e-05,0.00010203808219178082
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,1254,run_execution_step_from_chosen_actions,8760,8760,0.0086639,0.6488003,9.890296803652968e-07,7.406396118721462e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,567,run_daylight_step,8760,8760,0.0045449,0.5785414,5.18824200913242e-07,6.604353881278538e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,522,step_building_daylight,8760,8760,0.0196436,0.5739965,2.242420091324201e-06,6.552471461187215e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,458,step_zone_daylight,43800,43800,0.0502159,0.5543529,1.1464817351598174e-06,1.265645890410959e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\person_kernels.py,630,update_person_perception,8760,8760,0.2085235,0.541188,2.3804052511415525e-05,6.177945205479452e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\logger.py,304,write_current_state_to_logs,8760,8760,0.0197919,0.5305819,2.259349315068493e-06,6.0568710045662105e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,1104,advance_execution_state_arrays,8760,8760,0.0139836,0.4668334,1.5963013698630138e-06,5.329148401826484e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,727,run_airflow_step,8760,8760,0.006089000000000001,0.4215535,6.950913242009134e-07,4.812254566210046e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,677,step_building_airflow,8760,8760,0.0087335,0.4154645,9.96974885844749e-07,4.742745433789954e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\system_kernels.py,573,enforce_system_constraints,17520,17520,0.38338570000000005,0.38338570000000005,2.1882745433789956e-05,2.1882745433789956e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\thermal_kernels.py,1258,run_thermal_step,8760,8760,0.006398200000000001,0.3630429,7.303881278538814e-07,4.144325342465754e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,545,calculate_all_zone_airflow_components_m3_s,8760,8760,0.057330200000000005,0.35805050000000005,6.544543378995434e-06,4.0873344748858455e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\thermal_kernels.py,832,step_building_thermal_semi_implicit_fast,8760,8760,0.35664470000000004,0.35664470000000004,4.071286529680366e-05,4.071286529680366e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\timestep.py,452,run_system_update_if_available,8760,8760,0.005619600000000001,0.3247897,6.415068493150686e-07,3.70764497716895e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\person_kernels.py,142,fanger_pmv_scalar,28470,28470,0.28292300000000004,0.3241119,9.937583421145066e-06,1.1384330874604848e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\system_kernels.py,1411,update_system_control_state,8760,8760,0.012003900000000001,0.3191701,1.3703082191780824e-06,3.643494292237443e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\execution_kernels.py,855,advance_foreground_actions,8760,8760,0.06298250000000001,0.28707740000000004,7.189783105022832e-06,3.2771392694063934e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\daylight_kernels.py,268,calculate_zone_daylight_lux,43800,43800,0.0575178,0.2780144,1.3131917808219178e-06,6.3473607305936075e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\co2_kernels.py,533,run_co2_step,8760,8760,0.0042169,0.2747796,4.813812785388128e-07,3.1367534246575344e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\co2_kernels.py,487,step_building_co2_balance,8760,8760,0.0212903,0.2705627,2.4303995433789958e-06,3.088615296803653e-05
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\airflow_kernels.py,499,calculate_zone_airflow_components_m3_s,43800,43800,0.0450167,0.2688794,1.0277785388127853e-06,6.138799086757991e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\co2_kernels.py,398,step_zone_co2_balance,43800,43800,0.0909949,0.23347980000000002,2.0775091324200916e-06,5.330589041095891e-06
C:\Works\NexusEP\NexusEP\nexusep\abbey\arrays\moisture_kernels.py,1156,run_moisture_step,8760,8760,0.007956300000000001,0.21846010000000002,9.082534246575344e-07,2.4938367579908678e-05
