         4718030 function calls in 6.528 seconds

   Ordered by: cumulative time
   List reduced from 132 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.011    0.011    6.528    6.528 run_test_18_21_profiling.py:42(run_loop)
     8760    0.035    0.000    6.517    0.001 timestep.py:858(run_array_timestep)
     8760    0.097    0.000    5.945    0.001 timestep.py:509(run_array_timestep_arrays)
     8760    1.075    0.000    1.156    0.000 action_kernels.py:988(score_all_person_actions)
     8760    0.125    0.000    0.894    0.000 person_kernels.py:1080(update_person_dynamics)
     8760    0.009    0.000    0.649    0.000 execution_kernels.py:1254(run_execution_step_from_chosen_actions)
     8760    0.005    0.000    0.579    0.000 daylight_kernels.py:567(run_daylight_step)
     8760    0.020    0.000    0.574    0.000 daylight_kernels.py:522(step_building_daylight)
    43800    0.050    0.000    0.554    0.000 daylight_kernels.py:458(step_zone_daylight)
     8760    0.209    0.000    0.541    0.000 person_kernels.py:630(update_person_perception)
     8760    0.020    0.000    0.531    0.000 logger.py:304(write_current_state_to_logs)
     8760    0.014    0.000    0.467    0.000 execution_kernels.py:1104(advance_execution_state_arrays)
     8760    0.006    0.000    0.422    0.000 airflow_kernels.py:727(run_airflow_step)
     8760    0.009    0.000    0.415    0.000 airflow_kernels.py:677(step_building_airflow)
    17520    0.383    0.000    0.383    0.000 system_kernels.py:573(enforce_system_constraints)
     8760    0.006    0.000    0.363    0.000 thermal_kernels.py:1258(run_thermal_step)
     8760    0.057    0.000    0.358    0.000 airflow_kernels.py:545(calculate_all_zone_airflow_components_m3_s)
     8760    0.357    0.000    0.357    0.000 thermal_kernels.py:832(step_building_thermal_semi_implicit_fast)
     8760    0.006    0.000    0.325    0.000 timestep.py:452(run_system_update_if_available)
    28470    0.283    0.000    0.324    0.000 person_kernels.py:142(fanger_pmv_scalar)
     8760    0.012    0.000    0.319    0.000 system_kernels.py:1411(update_system_control_state)
     8760    0.063    0.000    0.287    0.000 execution_kernels.py:855(advance_foreground_actions)
    43800    0.058    0.000    0.278    0.000 daylight_kernels.py:268(calculate_zone_daylight_lux)
     8760    0.004    0.000    0.275    0.000 co2_kernels.py:533(run_co2_step)
     8760    0.021    0.000    0.271    0.000 co2_kernels.py:487(step_building_co2_balance)
    43800    0.045    0.000    0.269    0.000 airflow_kernels.py:499(calculate_zone_airflow_components_m3_s)
    43800    0.091    0.000    0.233    0.000 co2_kernels.py:398(step_zone_co2_balance)
     8760    0.008    0.000    0.218    0.000 moisture_kernels.py:1156(run_moisture_step)
     8760    0.192    0.000    0.211    0.000 moisture_kernels.py:809(step_building_moisture_balance_fast)
     8760    0.006    0.000    0.198    0.000 timestep.py:485(enforce_system_constraints_if_available)
     8760    0.029    0.000    0.173    0.000 execution_kernels.py:755(start_chosen_actions)
    33365    0.049    0.000    0.168    0.000 execution_kernels.py:802(add_foreground_action_outputs)
    43800    0.039    0.000    0.162    0.000 daylight_kernels.py:339(calculate_zone_solar_gain_w)
     8760    0.158    0.000    0.160    0.000 logger.py:434(write_zone_log)
