group_name,self_seconds,cumulative_seconds,primitive_calls,total_calls,share_percent_self,share_percent_cumulative
person_update,1.9164801999999999,5.089605200000001,598980,598980,42.871688798924666,24.726990300967493
action_scoring,0.6773536,1.5070387000000003,1262557,1262557,15.152409477557505,7.32169389446605
other,0.5111900000000001,9.267768199999999,5607787,5607787,11.43532742844007,45.02589206585511
execution,0.2819979,0.9220691000000003,183845,183845,6.308296955403078,4.479717541258767
thermal,0.22225980000000004,0.8619168000000001,306600,306600,4.971954825367483,4.187477715136125
system_update,0.20245690000000002,0.5425232000000001,280315,280315,4.528963676220091,2.635757662391937
logging,0.1888169,0.39138740000000005,148920,148920,4.223836686013078,1.901489813732681
moisture,0.1521361,0.6359811999999999,367920,367920,3.4032866785068188,3.089807626728624
daylight,0.1320511,0.6022122999999999,298620,298620,2.9539849484255996,2.9257471092695604
airflow,0.1159284,0.5290705,175168,175168,2.5933199245978433,2.5703999834855598
co2,0.06959900000000001,0.2336247,140160,140160,1.5569306005438297,1.1350262867081398
