filename,line_number,function_name,primitive_calls,total_calls,self_seconds,cumulative_seconds
timestep.py,852,run_array_timestep,8760,8760,0.0255745,4.4408591
timestep.py,509,run_array_timestep_arrays,8760,8760,0.06994310000000001,4.2192718000000005
person_kernels.py,536,update_person_perception,17520,17520,0.138557,1.9283033
person_kernels.py,142,fanger_pmv_scalar,17520,17520,1.4797999000000002,1.6819369000000002
person_kernels.py,944,update_person_dynamics,8760,8760,0.0232815,1.1312618
action_kernels.py,989,score_all_person_actions,8760,8760,0.1208319,0.6765332000000001
execution_kernels.py,1144,run_execution_step_from_chosen_actions,8760,8760,0.0067786,0.2575464
thermal_kernels.py,833,run_thermal_step,8760,8760,0.0038027000000000004,0.2297778
thermal_kernels.py,782,step_building_thermal_semi_implicit,8760,8760,0.0124285,0.2259751
action_kernels.py,338,action_impossible_for_person,43800,43800,0.11368260000000001,0.20003220000000002
~,0,<built-in method builtins.abs>,4950412,4950412,0.1942608,0.1942608
execution_kernels.py,1088,advance_execution_state_arrays,8760,8760,0.011632,0.19172260000000002
logger.py,304,write_current_state_to_logs,8760,8760,0.0160684,0.1912818
thermal_kernels.py,636,step_zone_thermal_semi_implicit,8760,8760,0.0459801,0.18744100000000002
system_kernels.py,508,enforce_system_constraints,17520,17520,0.0420899,0.1648426
moisture_kernels.py,714,run_moisture_step,8760,8760,0.0040274,0.1583265
moisture_kernels.py,663,step_building_moisture_balance,8760,8760,0.010808400000000001,0.15429910000000002
daylight_kernels.py,567,run_daylight_step,8760,8760,0.0038079000000000003,0.1326773
airflow_kernels.py,727,run_airflow_step,8760,8760,0.0051687,0.12966070000000002
daylight_kernels.py,522,step_building_daylight,8760,8760,0.006652600000000001,0.1288694
airflow_kernels.py,677,step_building_airflow,8760,8760,0.007742000000000001,0.124492
timestep.py,452,run_system_update_if_available,8760,8760,0.0048601,0.1235754
daylight_kernels.py,458,step_zone_daylight,8760,8760,0.0124755,0.12221680000000001
system_kernels.py,1048,update_system_control_state,8760,8760,0.0093565,0.11871530000000001
airflow_kernels.py,545,calculate_all_zone_airflow_components_m3_s,8760,8760,0.0245263,0.104289
moisture_kernels.py,557,step_zone_moisture_balance,8760,8760,0.0277744,0.1036128
execution_kernels.py,839,advance_foreground_actions,8760,8760,0.0235047,0.0915307
timestep.py,485,enforce_system_constraints_if_available,8760,8760,0.00387,0.08704970000000001
action_kernels.py,651,score_thermal_component,17544,17544,0.0316245,0.0802214
co2_kernels.py,533,run_co2_step,8760,8760,0.0036715000000000003,0.069631
co2_kernels.py,487,step_building_co2_balance,8760,8760,0.0077781000000000005,0.0659595
daylight_kernels.py,268,calculate_zone_daylight_lux,8760,8760,0.014741800000000001,0.061698300000000005
execution_kernels.py,1042,recompute_occupancy_after_execution,17520,17520,0.06025320000000001,0.06025320000000001
airflow_kernels.py,499,calculate_zone_airflow_components_m3_s,8760,8760,0.011411500000000002,0.0595677
execution_kernels.py,739,start_chosen_actions,8760,8760,0.010534400000000001,0.059045200000000006
action_kernels.py,766,score_visual_component,17544,17544,0.027071,0.0562696
person_kernels.py,756,update_person_needs,8760,8760,0.0413945,0.05553810000000001
co2_kernels.py,398,step_zone_co2_balance,8760,8760,0.020581000000000002,0.052492000000000004
execution_kernels.py,203,reset_execution_outputs,8760,8760,0.051044900000000004,0.051044900000000004
moisture_kernels.py,155,relative_humidity_to_humidity_ratio_kg_kg,26280,26280,0.021378,0.050105500000000004
